date,fundvalue,benchmarkvalue,timing_position_ratio,alpha_position_ratio,alpha_stock,deposit,cash
2008-03-11,1.1407492029200965,1.4923499636394901,0.0,0.5702840109114027,10859215.79592515,1065883.2421875,10889885.020289281
2008-03-12,1.1486616260269202,1.4580457031907692,0.0,0.5413905207867673,10366522.128988441,1034315.9765625,11572394.414987465
2008-03-13,1.1425415389028915,1.4226309247032949,0.0,0.5279546850352934,10051320.705090282,1007750.390625,11791759.682342548
2008-03-14,1.1426999091519792,1.4195537150410713,0.0,0.5256508857748364,10013941.418442054,997888.828125,11842167.936472531
2008-03-17,1.1338151291652696,1.3684627206259026,0.0,0.49591081478738935,9357960.4394737352,951667.20703125,12366674.936800407
2008-03-18,1.1262958792434434,1.3143160104460343,0.0,0.48249747205045407,9059409.365486227,903347.98828125,12563160.231101396
2008-03-19,1.1210437329165592,1.347527664437272,0.0,0.5539520167864314,10336451.369176768,1049992.2290039062,11034431.06015051
2008-03-20,1.1196251251321163,1.362731014619433,0.0,0.5877789704153523,10983043.586302323,1080494.12109375,10328964.795246253
2008-03-21,1.1204546614314757,1.3600550243776621,0.0,0.5210807528772272,9734425.4110183995,969079.21875,11705588.598861111
2008-03-24,1.1321150888416927,1.2990159377250143,0.0,0.4969181398022791,9386971.6897203345,925701.62109375,12329628.46601977
2008-03-25,1.1315240278373495,1.3002446722001513,0.0,0.5662773888832527,10691428.666885879,1054557.9052734375,10884493.984587671
2008-03-26,1.1293720933003055,1.2920913204059483,0.0,0.5567003441949513,10470506.117862208,1056879.931640625,11060055.816503277
2008-03-27,1.1280253868472983,1.2221036077506995,0.0,0.5425843367244052,10207972.497918535,1012208.37890625,11340326.860121181
2008-03-28,1.1165175919326142,1.282522953691398,0.0,0.5645643346036621,10499106.409986233,1057903.1762695312,10773342.25239652
2008-03-31,1.1139939372048229,1.2440345478579542,0.0,0.4980842494767696,9261390.4324140605,909727.20703125,12108761.104651146
2008-04-01,1.0999623930461973,1.192610398031159,0.0,0.4852766923123431,8923487.0995702837,859886.42578125,12215874.33557241
2008-04-02,1.0834271859020155,1.1993164940587286,0.0,0.5310129420612991,9589384.1410671845,957954.5947265625,11121204.982246563
2008-04-03,1.0844534227368063,1.2345521567335007,0.0,0.5704060074152233,10350805.413640995,985688.9868164062,10352574.054278728
2008-04-07,1.0938319195389976,1.2894977234380207,0.0,0.6012570176109485,11013737.214305913,1038371.4184570312,9824529.7580170091
2008-04-08,1.1010008345749094,1.294126076038245,0.0,0.5323144837828488,9807017.6399655193,933854.4140625,11279144.637470167
2008-04-09,1.1013784406173512,1.222970528284178,0.0,0.5027423408446525,9262763.9417827316,885151.171875,11879653.698689291
2008-04-10,1.1038053161332435,1.2436870631813117,0.0,0.5789944760077245,10698335.654993014,1013774.3920898438,10363996.275582016
2008-04-11,1.108579126095127,1.251263662058614,0.0,0.5114384031575532,9483003.24105932,908095.1953125,11780484.085530719
2008-04-14,1.105798898007193,1.1809714525217716,0.0,0.4866546396660613,9012840.0602785144,848719.21875,12254418.681115348
2008-04-15,1.111183649044461,1.1994848629226686,0.0,0.5507062967624899,10246568.758711377,967491.0131835938,11009613.208994253
2008-04-16,1.1085351026417278,1.1791552181809715,0.0,0.527273156688294,9769664.2292002514,943385.4052734375,11457652.418360865
2008-04-17,1.1028061640225852,1.1544873884556277,0.0,0.5129989138441368,9454888.3801133893,914390.068359375,11686844.831978939
2008-04-18,1.0908858151971508,1.108608664190092,0.0,0.4979468652440837,9073171.309393784,883575.0,11860969.994549233
2008-04-21,1.0903601164387022,1.1166008117528632,0.0,0.5208182799382655,9433931.4477176312,980265.0146484375,11393005.866407976
2008-04-22,1.0847251188677038,1.1276379281315714,0.0,0.5675966947545354,10295312.577219566,988884.0087890625,10410305.791345451
2008-04-23,1.0879417073828626,1.1744014845118558,0.0,0.589418598387991,10717220.483389337,1036118.994140625,10005494.670127293
