date,price,stock,type
2008-08-01,2.24556088448,sz002252,high
2008-09-08,1.49927997589,sz002252,low
2008-09-19,1.77941203117,sz002252,high
2008-10-16,1.35136795044,sz002252,low
2008-11-17,1.67333805561,sz002252,high
2008-11-18,1.53737902641,sz002252,low
2009-02-10,2.15143895149,sz002252,high
2009-02-27,1.76148998737,sz002252,low
2009-04-15,2.22613811493,sz002252,high
2009-04-27,1.89819300175,sz002252,low
2009-05-06,2.17160201073,sz002252,high
2009-06-12,1.96519994736,sz002252,low
2009-06-19,2.11057305336,sz002252,high
2009-07-01,2.00212097168,sz002252,low
2009-07-28,2.23978996277,sz002252,high
2009-07-29,2.09595704079,sz002252,low
2009-08-10,2.28286099434,sz002252,high
2009-08-19,1.91135597229,sz002252,low
2009-09-15,2.13902592659,sz002252,high
2009-09-29,1.95212101936,sz002252,low
2009-11-23,2.66206288338,sz002252,high
2009-11-26,2.37593388557,sz002252,low
2009-12-10,2.82589507103,sz002252,high
2009-12-22,2.51592206955,sz002252,low
2010-01-14,3.02510499954,sz002252,high
2010-02-09,2.5920650959,sz002252,low
2010-04-12,3.49736809731,sz002252,high
2010-04-19,3.23816204071,sz002252,low
2010-04-22,3.57659292221,sz002252,high
2010-05-12,2.93665003777,sz002252,low
2010-06-11,3.73806595802,sz002252,high
2010-07-16,3.05343008041,sz002252,low
2010-10-08,4.88016605377,sz002252,high
2010-10-18,4.30519914627,sz002252,low
2010-11-10,5.52908182144,sz002252,high
2010-11-17,4.80465316772,sz002252,low
2010-11-25,5.46116113663,sz002252,high
2011-01-25,3.62879896164,sz002252,low
2011-03-16,4.7260928154,sz002252,high
2011-06-21,2.87279510498,sz002252,low
2011-07-18,4.19755315781,sz002252,high
2011-08-09,3.39782691002,sz002252,low
2011-08-29,3.95668888092,sz002252,high
2011-10-20,3.17996501923,sz002252,low
2011-11-15,3.5426158905,sz002252,high
2011-12-12,3.12177300453,sz002252,low
2012-03-13,3.93232607841,sz002252,high
2012-04-26,3.35046696663,sz002252,low
2012-05-07,3.69146990776,sz002252,high
2012-06-08,3.20466899872,sz002252,low
2012-06-19,3.42807602882,sz002252,high
2012-08-02,3.00112295151,sz002252,low
2012-08-10,3.16991710663,sz002252,high
2012-08-20,3.01353096962,sz002252,low
2012-09-12,3.27168703079,sz002252,high
2012-09-21,3.01849102974,sz002252,low
2012-10-31,3.52488398552,sz002252,high
2012-12-03,2.95642995834,sz002252,low
2013-12-23,13.4888706207,sz002252,high
2014-01-21,11.1722736359,sz002252,low
2014-02-14,13.779967308,sz002252,high
2014-03-05,11.8938531876,sz002252,low
2014-05-12,17.6230182648,sz002252,high
2014-05-22,15.6914815903,sz002252,low
2014-10-30,24.8630962372,sz002252,high
2014-12-22,21.8873500824,sz002252,low
2015-03-04,27.295633316,sz002252,high
2015-03-11,25.2668972015,sz002252,low
2015-04-15,31.9069824219,sz002252,high
2015-04-20,29.5651283264,sz002252,low
2015-05-26,34.9478874207,sz002252,high
2015-06-25,29.4103527069,sz002252,low
2015-08-04,46.2626342773,sz002252,high
2015-08-25,36.1962051392,sz002252,low
2015-09-18,45.1990661621,sz002252,high
2015-11-03,39.7464179993,sz002252,low
2015-11-24,45.4387435913,sz002252,high
2016-01-07,36.181224823,sz002252,low
2016-01-19,39.9860954285,sz002252,high
