date,stockcode,operatetype,referencenum,referenceprice
2000-08-31,sz000881,buy,4315,10.108049977976551
2000-09-04,sz000735,buy,7416,5.8240669462558019
2000-09-06,sz000703,buy,10027,4.2408767930149613
2000-09-08,sz000903,buy,23516,2.2983098292724256
2000-09-11,sh600167,buy,2396,10.134874592358088
2000-09-12,sh600086,buy,13646,2.9409522959818433
2000-09-12,sh600894,buy,5676,4.4332708143150432
2000-09-12,sz000581,buy,5751,4.6584037636332631
2000-09-18,sh600890,buy,5745,4.6939531354179129
2000-09-19,sz000735,sell,-7416,5.1796478761875395
2000-09-21,sz000498,buy,6836,6.4179147463097532
2000-09-26,sh600167,sell,-2396,9.3598555420652279
2000-09-26,sz000581,sell,-5751,3.7946691517522022
2000-09-27,sz000498,sell,-6836,5.6194031416480223
2000-09-28,sh600239,buy,9552,2.6733758176263791
2000-09-28,sz000014,buy,3273,6.031095027923584
2000-09-28,sz000598,buy,38691,1.3368172075749649
2000-09-28,sz000702,buy,3886,11.161462622234639
2000-09-28,sz000785,buy,3497,9.9554024889406936
2000-09-29,sh600864,buy,6080,4.4985318786244521
2000-10-09,sh600058,buy,3880,6.9843140197122269
2000-10-09,sh600149,buy,10321,4.3945957931678263
2000-10-09,sh600856,buy,3895,8.5875781888441374
2000-10-09,sz000030,buy,1881,11.324526691899619
2000-10-09,sz000510,buy,7019,4.6973697706653255
2000-10-10,sh600133,buy,7732,6.7252256622834992
2000-10-10,sh600210,buy,20163,2.5789100880758928
2000-10-10,sz000017,buy,3195,7.2745153923533783
2000-10-10,sz000506,buy,6205,6.3970502151899176
2000-10-10,sz000611,buy,3474,6.3523371007894855
2000-10-11,sh600122,buy,6369,6.8687994297761561
2000-10-11,sh600608,buy,7955,7.4992549419182755
2000-10-11,sh600629,buy,4316,7.924911221222235
2000-10-11,sh600673,buy,9744,2.1386387415740065
2000-10-11,sh600782,buy,7272,6.1876780801961493
2000-10-11,sz000026,buy,4558,7.6879577979863187
2000-10-11,sz000650,buy,14691,1.7479765646999366
2000-10-11,sz000915,buy,6159,7.8257781164065152
2000-10-11,sz000949,buy,15182,3.4925058869395422
2000-10-12,sh600070,buy,15172,2.5101919174194336
2000-10-12,sh600137,buy,3453,13.560018766446065
2000-10-12,sh600658,buy,1777,12.211231800894303
2000-10-12,sh600759,buy,8049,3.9182026661337086
2000-10-12,sz000011,buy,5248,6.7920379179572778
2000-10-12,sz000601,buy,10621,4.1190379077601689
2000-10-12,sz000613,buy,4814,7.5310022000185191
2000-10-13,sh600145,buy,7933,4.759504310827209
2000-10-13,sh600182,buy,3265,8.1265811581669869
2000-10-13,sh600706,buy,2539,14.315497704170433
2000-10-16,sz000546,buy,4097,7.8133761839887272
2000-10-16,sz000591,buy,10174,4.7494995414202217
2000-10-16,sz000906,buy,6470,7.4946830248911773
2000-10-16,sz000952,buy,8043,8.1436651551734442
2000-10-17,sh600099,buy,4109,7.5893977731715427
2000-10-17,sz000523,buy,8083,5.6561838378154734
2000-10-18,sh600804,buy,10580,2.6247542887359385
2000-10-18,sz000837,buy,14037,4.8084068069458556
2000-10-19,sh600777,buy,7635,5.0414334662090026
2000-10-19,sh600806,buy,6258,5.0782575216584451
2000-10-19,sz000790,buy,9391,4.2155623639544917
2000-10-23,sh600120,buy,11984,6.1277439126279578
2000-10-23,sh600645,buy,6351,7.7986175715925627
2000-10-24,sh600198,buy,2149,22.230180963806969
2000-10-24,sh600809,buy,9752,2.9471527464839644
2000-10-24,sz000838,buy,14508,2.1316285267285591
2000-10-25,sh600062,buy,6056,5.9600779381227893
2000-10-25,sh600678,buy,6030,4.9385185696088261
2000-10-25,sz000554,buy,2945,7.5542561003687956
2000-10-25,sz000638,buy,3890,6.4001805679497776
